state,district,name,party,incumbent,winner,type of contribution,amount,percentage
Arizona,AZ06,Tom Lewellen,I,False,False,Large Individual Contributions,3000,0.25670000000000004
Arizona,AZ06,Tom Lewellen,I,False,False,PAC Contributions*,0,0.0
Arizona,AZ06,Tom Lewellen,I,False,False,Candidate self-financing,10200,0.8729
Arizona,AZ06,Tom Lewellen,I,False,False,Other,-1930,-0.16519999999999999
Arizona,AZ07,Ruben Gallego,D,True,True,Small Individual Contributions (≤ $200),334025,0.1844
Arizona,AZ07,Ruben Gallego,D,True,True,Large Individual Contributions,744470,0.41090000000000004
Arizona,AZ07,Ruben Gallego,D,True,True,PAC Contributions*,745509,0.4115
Arizona,AZ07,Ruben Gallego,D,True,True,Candidate self-financing,0,0.0
Arizona,AZ07,Ruben Gallego,D,True,True,Other,-12250,-0.0068000000000000005
Arizona,AZ07,Josh Barnett,R,False,False,Small Individual Contributions (≤ $200),4183,0.1489
Arizona,AZ07,Josh Barnett,R,False,False,Large Individual Contributions,17885,0.6365999999999999
Arizona,AZ07,Josh Barnett,R,False,False,PAC Contributions*,3375,0.1201
Arizona,AZ07,Josh Barnett,R,False,False,Candidate self-financing,2650,0.0943
Arizona,AZ07,Josh Barnett,R,False,False,Other,0,0.0
Arizona,AZ08,Debbie Lesko,R,True,True,Small Individual Contributions (≤ $200),367870,0.22920000000000001
Arizona,AZ08,Debbie Lesko,R,True,True,Large Individual Contributions,582207,0.3627
Arizona,AZ08,Debbie Lesko,R,True,True,PAC Contributions*,397032,0.2473
Arizona,AZ08,Debbie Lesko,R,True,True,Candidate self-financing,0,0.0
Arizona,AZ08,Debbie Lesko,R,True,True,Other,258137,0.16079999999999997
Arizona,AZ08,Michael Muscato,D,False,False,Small Individual Contributions (≤ $200),162778,0.4548
Arizona,AZ08,Michael Muscato,D,False,False,Large Individual Contributions,172212,0.48119999999999996
Arizona,AZ08,Michael Muscato,D,False,False,PAC Contributions*,4103,0.0115
Arizona,AZ08,Michael Muscato,D,False,False,Candidate self-financing,18869,0.0527
Arizona,AZ08,Michael Muscato,D,False,False,Other,-57,-0.0002
Arizona,AZ09,Greg Stanton,D,True,True,Small Individual Contributions (≤ $200),170847,0.08539999999999999
Arizona,AZ09,Greg Stanton,D,True,True,Large Individual Contributions,1179987,0.5895
Arizona,AZ09,Greg Stanton,D,True,True,PAC Contributions*,655961,0.32770000000000005
Arizona,AZ09,Greg Stanton,D,True,True,Candidate self-financing,0,0.0
Arizona,AZ09,Greg Stanton,D,True,True,Other,-5175,-0.0026
Arizona,AZ09,Dave Giles,R,False,False,Small Individual Contributions (≤ $200),42615,0.32659999999999995
Arizona,AZ09,Dave Giles,R,False,False,Large Individual Contributions,13314,0.102
Arizona,AZ09,Dave Giles,R,False,False,PAC Contributions*,0,0.0
Arizona,AZ09,Dave Giles,R,False,False,Candidate self-financing,69552,0.5329999999999999
Arizona,AZ09,Dave Giles,R,False,False,Other,5000,0.0383
Arkansas,AR01,Rick Crawford,R,True,True,Small Individual Contributions (≤ $200),37303,0.038599999999999995
Arkansas,AR01,Rick Crawford,R,True,True,Large Individual Contributions,367990,0.38060000000000005
Arkansas,AR01,Rick Crawford,R,True,True,PAC Contributions*,556336,0.5754
Arkansas,AR01,Rick Crawford,R,True,True,Candidate self-financing,0,0.0
Arkansas,AR01,Rick Crawford,R,True,True,Other,5172,0.0053
Arkansas,AR02,French Hill,R,True,True,Small Individual Contributions (≤ $200),102118,0.0302
Arkansas,AR02,French Hill,R,True,True,Large Individual Contributions,1598588,0.47229999999999994
Arkansas,AR02,French Hill,R,True,True,PAC Contributions*,1531282,0.4524
Arkansas,AR02,French Hill,R,True,True,Candidate self-financing,0,0.0
Arkansas,AR02,French Hill,R,True,True,Other,152502,0.0451
Arkansas,AR02,Joyce Elliott,D,False,False,Small Individual Contributions (≤ $200),1376888,0.3954
Arkansas,AR02,Joyce Elliott,D,False,False,Large Individual Contributions,1769570,0.5081
Arkansas,AR02,Joyce Elliott,D,False,False,PAC Contributions*,373403,0.1072
Arkansas,AR02,Joyce Elliott,D,False,False,Candidate self-financing,100,0.0
Arkansas,AR02,Joyce Elliott,D,False,False,Other,-37498,-0.0108
Arkansas,AR03,Steve Womack,R,True,True,Small Individual Contributions (≤ $200),63990,0.056799999999999996
Arkansas,AR03,Steve Womack,R,True,True,Large Individual Contributions,484990,0.4303
Arkansas,AR03,Steve Womack,R,True,True,PAC Contributions*,568221,0.5041
Arkansas,AR03,Steve Womack,R,True,True,Candidate self-financing,0,0.0
Arkansas,AR03,Steve Womack,R,True,True,Other,9957,0.0088
Arkansas,AR03,Celeste Williams,D,False,False,Small Individual Contributions (≤ $200),154884,0.4359
Arkansas,AR03,Celeste Williams,D,False,False,Large Individual Contributions,184727,0.5199
Arkansas,AR03,Celeste Williams,D,False,False,PAC Contributions*,4500,0.0127
Arkansas,AR03,Celeste Williams,D,False,False,Candidate self-financing,0,0.0
Arkansas,AR03,Celeste Williams,D,False,False,Other,11183,0.0315
Arkansas,AR04,Bruce Westerman,R,True,True,Small Individual Contributions (≤ $200),58586,0.0416
Arkansas,AR04,Bruce Westerman,R,True,True,Large Individual Contributions,609363,0.4329
Arkansas,AR04,Bruce Westerman,R,True,True,PAC Contributions*,748630,0.5318
Arkansas,AR04,Bruce Westerman,R,True,True,Candidate self-financing,0,0.0
Arkansas,AR04,Bruce Westerman,R,True,True,Other,-8809,-0.0063
Arkansas,AR04,William Hanson,D,False,False,Small Individual Contributions (≤ $200),7934,0.0723
Arkansas,AR04,William Hanson,D,False,False,Large Individual Contributions,31733,0.2891
Arkansas,AR04,William Hanson,D,False,False,PAC Contributions*,0,0.0
Arkansas,AR04,William Hanson,D,False,False,Candidate self-financing,0,0.0
Arkansas,AR04,William Hanson,D,False,False,Other,70100,0.6386
California,CA01,Doug LaMalfa,R,True,True,Small Individual Contributions (≤ $200),54113,0.0444
California,CA01,Doug LaMalfa,R,True,True,Large Individual Contributions,643015,0.5273
California,CA01,Doug LaMalfa,R,True,True,PAC Contributions*,406260,0.3331
California,CA01,Doug LaMalfa,R,True,True,Candidate self-financing,0,0.0
California,CA01,Doug LaMalfa,R,True,True,Other,116169,0.0953
California,CA01,Audrey Denney,D,False,False,Small Individual Contributions (≤ $200),851220,0.3458
California,CA01,Audrey Denney,D,False,False,Large Individual Contributions,1482953,0.6024
California,CA01,Audrey Denney,D,False,False,PAC Contributions*,116688,0.047400000000000005
California,CA01,Audrey Denney,D,False,False,Candidate self-financing,0,0.0
California,CA01,Audrey Denney,D,False,False,Other,10909,0.0044
California,CA02,Jared Huffman,D,True,True,Small Individual Contributions (≤ $200),55808,0.062
California,CA02,Jared Huffman,D,True,True,Large Individual Contributions,479514,0.5331
California,CA02,Jared Huffman,D,True,True,PAC Contributions*,377125,0.4193
California,CA02,Jared Huffman,D,True,True,Candidate self-financing,0,0.0
California,CA02,Jared Huffman,D,True,True,Other,-13028,-0.014499999999999999
California,CA02,Dale Mensing,R,False,False,Small Individual Contributions (≤ $200),0,0.0
California,CA02,Dale Mensing,R,False,False,Large Individual Contributions,400,0.0676
California,CA02,Dale Mensing,R,False,False,PAC Contributions*,5000,0.8445
California,CA02,Dale Mensing,R,False,False,Candidate self-financing,521,0.08800000000000001
California,CA02,Dale Mensing,R,False,False,Other,0,0.0
California,CA03,John Garamendi,D,True,True,Small Individual Contributions (≤ $200),31566,0.029900000000000003
California,CA03,John Garamendi,D,True,True,Large Individual Contributions,411196,0.3901
California,CA03,John Garamendi,D,True,True,PAC Contributions*,618324,0.5866
California,CA03,John Garamendi,D,True,True,Candidate self-financing,0,0.0
California,CA03,John Garamendi,D,True,True,Other,-7020,-0.0067
California,CA03,Tamika Hamilton,R,False,False,Small Individual Contributions (≤ $200),173071,0.43579999999999997
California,CA03,Tamika Hamilton,R,False,False,Large Individual Contributions,208919,0.5261
California,CA03,Tamika Hamilton,R,False,False,PAC Contributions*,14405,0.0363
California,CA03,Tamika Hamilton,R,False,False,Candidate self-financing,100,0.0003
California,CA03,Tamika Hamilton,R,False,False,Other,605,0.0015
California,CA04,Tom McClintock,R,True,True,Small Individual Contributions (≤ $200),518047,0.2523
California,CA04,Tom McClintock,R,True,True,Large Individual Contributions,1135326,0.5529
California,CA04,Tom McClintock,R,True,True,PAC Contributions*,258985,0.1261
California,CA04,Tom McClintock,R,True,True,Candidate self-financing,0,0.0
California,CA04,Tom McClintock,R,True,True,Other,141004,0.0687
California,CA04,Brynne Kennedy,D,False,False,Small Individual Contributions (≤ $200),444894,0.14800000000000002
California,CA04,Brynne Kennedy,D,False,False,Large Individual Contributions,1887644,0.628
California,CA04,Brynne Kennedy,D,False,False,PAC Contributions*,255159,0.0849
California,CA04,Brynne Kennedy,D,False,False,Candidate self-financing,411680,0.13699999999999998
California,CA04,Brynne Kennedy,D,False,False,Other,6642,0.0022
California,CA05,Mike Thompson,D,True,True,Small Individual Contributions (≤ $200),146982,0.0666
California,CA05,Mike Thompson,D,True,True,Large Individual Contributions,591047,0.2677
California,CA05,Mike Thompson,D,True,True,PAC Contributions*,1467431,0.6646
California,CA05,Mike Thompson,D,True,True,Candidate self-financing,0,0.0
California,CA05,Mike Thompson,D,True,True,Other,2676,0.0012
California,CA06,Doris Matsui,D,True,True,Small Individual Contributions (≤ $200),6570,0.0064
California,CA06,Doris Matsui,D,True,True,Large Individual Contributions,268240,0.2631
California,CA06,Doris Matsui,D,True,True,PAC Contributions*,748750,0.7343999999999999
California,CA06,Doris Matsui,D,True,True,Candidate self-financing,0,0.0
California,CA06,Doris Matsui,D,True,True,Other,-3955,-0.0039000000000000003
California,CA06,Christine Bish,R,False,False,Small Individual Contributions (≤ $200),8202,0.1832
California,CA06,Christine Bish,R,False,False,Large Individual Contributions,3624,0.0809
California,CA06,Christine Bish,R,False,False,PAC Contributions*,0,0.0
California,CA06,Christine Bish,R,False,False,Candidate self-financing,32447,0.7247
California,CA06,Christine Bish,R,False,False,Other,500,0.011200000000000002
California,CA07,Ami Bera,D,True,True,Small Individual Contributions (≤ $200),144287,0.0821
California,CA07,Ami Bera,D,True,True,Large Individual Contributions,816652,0.4646
California,CA07,Ami Bera,D,True,True,PAC Contributions*,864309,0.4917
California,CA07,Ami Bera,D,True,True,Candidate self-financing,0,0.0
California,CA07,Ami Bera,D,True,True,Other,-67499,-0.0384
California,CA07,Buzz Patterson,R,False,False,Small Individual Contributions (≤ $200),14288,0.3256
California,CA07,Buzz Patterson,R,False,False,Large Individual Contributions,27138,0.6185
California,CA07,Buzz Patterson,R,False,False,PAC Contributions*,0,0.0
California,CA07,Buzz Patterson,R,False,False,Candidate self-financing,2500,0.057
California,CA07,Buzz Patterson,R,False,False,Other,-50,-0.0011
California,CA08,Jay Obernolte,R,False,True,Small Individual Contributions (≤ $200),106895,0.0574
California,CA08,Jay Obernolte,R,False,True,Large Individual Contributions,314272,0.16879999999999998
California,CA08,Jay Obernolte,R,False,True,PAC Contributions*,155998,0.08380000000000001
California,CA08,Jay Obernolte,R,False,True,Candidate self-financing,1288000,0.6919
California,CA08,Jay Obernolte,R,False,True,Other,-3518,-0.0019
California,CA08,Chris Bubser,D,False,False,Small Individual Contributions (≤ $200),216396,0.1165
California,CA08,Chris Bubser,D,False,False,Large Individual Contributions,1341256,0.7219
California,CA08,Chris Bubser,D,False,False,PAC Contributions*,173979,0.09359999999999999
California,CA08,Chris Bubser,D,False,False,Candidate self-financing,134030,0.0721
California,CA08,Chris Bubser,D,False,False,Other,-7661,-0.0040999999999999995
California,CA09,Jerry McNerney,D,True,True,Small Individual Contributions (≤ $200),99538,0.08449999999999999
California,CA09,Jerry McNerney,D,True,True,Large Individual Contributions,602997,0.5119
California,CA09,Jerry McNerney,D,True,True,PAC Contributions*,480090,0.40759999999999996
California,CA09,Jerry McNerney,D,True,True,Candidate self-financing,0,0.0
California,CA09,Jerry McNerney,D,True,True,Other,-4666,-0.004
California,CA09,Tony Amador,R,False,False,Small Individual Contributions (≤ $200),9435,0.1808
California,CA09,Tony Amador,R,False,False,Large Individual Contributions,26700,0.5117
California,CA09,Tony Amador,R,False,False,PAC Contributions*,5000,0.0958
California,CA09,Tony Amador,R,False,False,Candidate self-financing,11090,0.2126
California,CA09,Tony Amador,R,False,False,Other,-50,-0.001
California,CA10,Josh Harder,D,True,True,Small Individual Contributions (≤ $200),817696,0.1105
California,CA10,Josh Harder,D,True,True,Large Individual Contributions,5252602,0.7098
California,CA10,Josh Harder,D,True,True,PAC Contributions*,866939,0.11720000000000001
California,CA10,Josh Harder,D,True,True,Candidate self-financing,0,0.0
California,CA10,Josh Harder,D,True,True,Other,462897,0.0626
California,CA10,Ted Howze,R,False,False,Small Individual Contributions (≤ $200),238422,0.1671
California,CA10,Ted Howze,R,False,False,Large Individual Contributions,763304,0.5351
California,CA10,Ted Howze,R,False,False,PAC Contributions*,56986,0.039900000000000005
California,CA10,Ted Howze,R,False,False,Candidate self-financing,343500,0.2408
California,CA10,Ted Howze,R,False,False,Other,24341,0.0171
California,CA11,Mark Desaulnier,D,True,True,Small Individual Contributions (≤ $200),46152,0.0756
California,CA11,Mark Desaulnier,D,True,True,Large Individual Contributions,163466,0.26780000000000004
California,CA11,Mark Desaulnier,D,True,True,PAC Contributions*,402277,0.659
California,CA11,Mark Desaulnier,D,True,True,Candidate self-financing,0,0.0
California,CA11,Mark Desaulnier,D,True,True,Other,-1500,-0.0025
California,CA11,Nisha Sharma,R,False,False,Small Individual Contributions (≤ $200),12316,0.0704
California,CA11,Nisha Sharma,R,False,False,Large Individual Contributions,150029,0.8575
California,CA11,Nisha Sharma,R,False,False,PAC Contributions*,12500,0.07139999999999999
California,CA11,Nisha Sharma,R,False,False,Candidate self-financing,0,0.0
California,CA11,Nisha Sharma,R,False,False,Other,108,0.0006
California,CA12,Nancy Pelosi,D,True,True,Small Individual Contributions (≤ $200),15471503,0.5655
California,CA12,Nancy Pelosi,D,True,True,Large Individual Contributions,8841636,0.3232
California,CA12,Nancy Pelosi,D,True,True,PAC Contributions*,1874066,0.06849999999999999
California,CA12,Nancy Pelosi,D,True,True,Candidate self-financing,0,0.0
California,CA12,Nancy Pelosi,D,True,True,Other,1172303,0.042800000000000005
California,CA12,Shahid Buttar,D,False,False,Small Individual Contributions (≤ $200),1067447,0.6381
California,CA12,Shahid Buttar,D,False,False,Large Individual Contributions,619664,0.3704
California,CA12,Shahid Buttar,D,False,False,PAC Contributions*,3879,0.0023
California,CA12,Shahid Buttar,D,False,False,Candidate self-financing,5514,0.0033
California,CA12,Shahid Buttar,D,False,False,Other,-23628,-0.0141
California,CA13,Barbara Lee,D,True,True,Small Individual Contributions (≤ $200),388842,0.2127
California,CA13,Barbara Lee,D,True,True,Large Individual Contributions,958863,0.5245000000000001
California,CA13,Barbara Lee,D,True,True,PAC Contributions*,479849,0.2625
California,CA13,Barbara Lee,D,True,True,Candidate self-financing,0,0.0
California,CA13,Barbara Lee,D,True,True,Other,659,0.0004
California,CA13,Nikka Piterman,R,False,False,Small Individual Contributions (≤ $200),3671,0.373
California,CA13,Nikka Piterman,R,False,False,Large Individual Contributions,2452,0.2492
California,CA13,Nikka Piterman,R,False,False,PAC Contributions*,0,0.0
California,CA13,Nikka Piterman,R,False,False,Candidate self-financing,4052,0.4118
California,CA13,Nikka Piterman,R,False,False,Other,-338,-0.034300000000000004
California,CA14,Jackie Speier,D,True,True,Small Individual Contributions (≤ $200),31338,0.0332
California,CA14,Jackie Speier,D,True,True,Large Individual Contributions,627621,0.6656
California,CA14,Jackie Speier,D,True,True,PAC Contributions*,269419,0.2857
California,CA14,Jackie Speier,D,True,True,Candidate self-financing,0,0.0
California,CA14,Jackie Speier,D,True,True,Other,14556,0.0154
California,CA15,Eric Swalwell,D,True,True,Small Individual Contributions (≤ $200),410205,0.1461
California,CA15,Eric Swalwell,D,True,True,Large Individual Contributions,1899885,0.6767
California,CA15,Eric Swalwell,D,True,True,PAC Contributions*,521650,0.1858
California,CA15,Eric Swalwell,D,True,True,Candidate self-financing,0,0.0
California,CA15,Eric Swalwell,D,True,True,Other,-23966,-0.0085
California,CA16,Jim Costa,D,True,True,Small Individual Contributions (≤ $200),7305,0.0034000000000000002
California,CA16,Jim Costa,D,True,True,Large Individual Contributions,899681,0.4213
California,CA16,Jim Costa,D,True,True,PAC Contributions*,1233453,0.5776
California,CA16,Jim Costa,D,True,True,Candidate self-financing,0,0.0
California,CA16,Jim Costa,D,True,True,Other,-4915,-0.0023
California,CA16,Kevin Cookingham,R,False,False,Small Individual Contributions (≤ $200),36183,0.1364
California,CA16,Kevin Cookingham,R,False,False,Large Individual Contributions,214182,0.8070999999999999
California,CA16,Kevin Cookingham,R,False,False,PAC Contributions*,15000,0.0565
California,CA16,Kevin Cookingham,R,False,False,Candidate self-financing,0,0.0
California,CA16,Kevin Cookingham,R,False,False,Other,0,0.0
California,CA17,Ro Khanna,D,True,True,Small Individual Contributions (≤ $200),458130,0.11939999999999999
California,CA17,Ro Khanna,D,True,True,Large Individual Contributions,3448779,0.8986
California,CA17,Ro Khanna,D,True,True,PAC Contributions*,0,0.0
California,CA17,Ro Khanna,D,True,True,Candidate self-financing,0,0.0
